Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
1/12/2015,TOPP,143.5,143.5,143.5,143.5,-1.37,100,14000,14000,85000.0,1179000.0,143.5,,,,,100.0,,,14000.0,0.0
1/27/2015,TOPP,139.0,139.0,139.0,139.0,-3.14,102,14000,14000,28000.0,1081000.0,141.25,,,,,101.0,,,14000.0,0.0
2/2/2015,TOPP,142.0,142.0,142.0,142.0,2.16,200,28000,42000,42000.0,819000.0,141.5,,,,,134.0,,,18666.666666666668,0.0
2/11/2015,TOPP,142.5,143.0,142.5,143.0,0.7,1400,200000,200000,242000.0,327000.0,141.875,,,,,450.5,,,64000.0,0.0
2/16/2015,TOPP,142.0,142.0,142.0,142.0,-0.7,500,71000,271000,299000.0,356000.0,141.9,,,,,460.4,,,65400.0,0.0
2/17/2015,TOPP,146.5,146.5,146.5,146.5,3.17,200,29000,300000,328000.0,356000.0,142.5,,,,,480.4,,,68400.0,0.0
2/20/2015,TOPP,142.0,142.0,140.0,140.0,-4.44,200,28000,128000,328000.0,384000.0,142.7,,,,,500.0,,,71200.0,0.0
2/24/2015,TOPP,139.5,141.0,139.5,141.0,0.71,1100,154000,182000,482000.0,538000.0,142.5,,,,,680.0,,,96400.0,0.0
2/27/2015,TOPP,142.0,142.0,142.0,142.0,0.71,800,114000,268000,596000.0,638000.0,142.3,,,,,560.0,,,79200.0,0.0
3/2/2015,TOPP,151.0,151.0,142.0,142.0,0.0,400,59000,327000,455000.0,697000.0,142.3,,,,,540.0,,,76800.0,0.0
3/3/2015,TOPP,145.0,149.0,145.0,149.0,4.93,400,58000,231000,513000.0,755000.0,142.8,,,,,580.0,,,82600.0,0.0
3/5/2015,TOPP,149.0,149.0,149.0,149.0,0.0,100,15000,246000,528000.0,770000.0,144.6,143.25,,,,560.0,,,80000.0,0.0
3/9/2015,TOPP,151.0,151.0,151.0,151.0,1.34,100,15000,147000,443000.0,785000.0,146.6,143.875,,,,360.0,,,52200.0,0.0
3/10/2015,TOPP,150.5,150.5,150.5,150.5,-0.33,100,15000,103000,458000.0,800000.0,148.3,144.83333333333334,,,,220.0,50.0,50.0,32400.0,0.0
3/12/2015,TOPP,150.0,150.0,150.0,150.0,-0.33,100,15000,45000,445000.0,815000.0,149.9,145.5,,,,160.0,50.0,50.0,23600.0,0.0
3/17/2015,TOPP,150.0,150.0,150.0,150.0,0.0,100,15000,30000,306000.0,816000.0,150.1,146.08333333333334,,,,100.0,50.0,50.0,15000.0,0.0
3/18/2015,TOPP,150.0,150.0,150.0,150.0,0.0,101,15000,45000,321000.0,831000.0,150.3,146.75,,,,100.2,42.857142857142854,48.214285714285715,15000.0,0.0
3/23/2015,TOPP,141.5,150.0,135.0,150.0,0.0,600,84000,114000,174000.0,887000.0,150.1,147.04166666666666,,,,200.2,35.714285714285715,45.714285714285715,28800.0,0.0
3/24/2015,TOPP,149.0,149.0,149.0,149.0,-0.67,200,30000,129000,189000.0,917000.0,149.8,147.79166666666666,,,,220.2,35.714285714285715,42.85714285714286,31800.0,0.0
3/25/2015,TOPP,150.0,150.0,150.0,150.0,0.67,100,15000,129000,204000.0,932000.0,149.8,148.54166666666666,,,,220.2,35.714285714285715,40.00000000000001,31800.0,0.0
3/26/2015,TOPP,151.0,151.0,151.0,151.0,0.67,100,15000,144000,204000.0,947000.0,150.0,149.29166666666666,,,,220.2,42.857142857142854,38.571428571428584,31800.0,0.0
3/27/2015,TOPP,151.0,151.0,151.0,151.0,0.0,1000,151000,295000,340000.0,1098000.0,150.2,150.04166666666666,,,,400.0,35.714285714285715,37.142857142857146,59000.0,0.0
3/30/2015,TOPP,150.0,151.0,150.0,151.0,0.0,1000,150000,361000,490000.0,1248000.0,150.4,150.20833333333334,,,,480.0,28.57142857142857,35.714285714285715,72200.0,0.0
4/1/2015,TOPP,150.0,150.0,150.0,150.0,0.0,900,135000,466000,610000.0,1383000.0,150.6,150.29166666666666,,,,620.0,28.57142857142857,34.285714285714285,93200.0,0.0
4/10/2015,TOPP,148.0,148.0,148.0,148.0,-1.33,4000,592000,592000,1172000.0,1675000.0,150.2,150.04166666666666,,,,1400.0,21.42857142857143,31.428571428571434,208600.0,0.0
4/21/2015,TOPP,149.0,149.0,149.0,149.0,0.68,1100,164000,756000,1192000.0,1657000.0,149.8,149.91666666666666,146.90384615384616,2.716524216524192,2.716524216524192,1600.0,28.57142857142857,28.57142857142857,238400.0,0.0
4/22/2015,TOPP,148.5,148.5,148.5,148.5,-0.34,1300,193000,357000,1234000.0,1850000.0,149.3,149.79166666666666,147.09615384615384,2.3928062678062645,2.5546652421652283,1660.0,21.42857142857143,25.71428571428571,246800.0,0.0
4/28/2015,TOPP,145.0,145.0,145.0,145.0,-2.36,500,72000,265000,1021000.0,1691000.0,148.1,149.375,147.3269230769231,1.5473646723646937,2.21889838556505,1560.0,21.42857142857143,24.285714285714285,231200.0,0.0
5/6/2015,TOPP,145.0,145.0,145.0,145.0,0.0,3700,536000,608000,1557000.0,2197000.0,147.1,148.95833333333334,147.44230769230768,1.0879629629629903,1.9361645299145351,2120.0,21.42857142857143,22.857142857142854,311400.0,0.0
5/13/2015,TOPP,140.0,140.0,140.0,140.0,-3.45,800,112000,112000,913000.0,2279000.0,145.5,148.125,147.3269230769231,0.09081196581195172,1.5670940170940184,1480.0,21.42857142857143,22.857142857142854,215400.0,0.0
5/14/2015,TOPP,151.0,151.0,150.0,150.0,7.14,500,75000,187000,795000.0,2339000.0,145.7,148.20833333333334,147.63461538461542,0.6741452991452945,1.1586182336182391,1360.0,28.57142857142857,22.857142857142854,197600.0,0.0
5/15/2015,TOPP,150.0,150.0,150.0,150.0,0.0,100,15000,202000,810000.0,2339000.0,146.0,148.20833333333334,147.76923076923075,0.5495014245014147,0.789957264957269,1120.0,28.57142857142857,24.285714285714285,162000.0,0.0
5/20/2015,TOPP,150.0,150.0,150.0,150.0,0.0,300,45000,135000,783000.0,2300000.0,147.0,148.125,148.15384615384616,0.12286324786325055,0.5050569800569804,1080.0,28.57142857142857,25.71428571428571,156600.0,0.0
5/25/2015,TOPP,149.0,149.0,149.0,149.0,-0.67,100,15000,60000,262000.0,2255000.0,147.8,147.95833333333334,148.46153846153842,-0.3828347578347575,0.2108974358974308,360.0,21.42857142857143,25.71428571428571,52400.0,0.0
5/26/2015,TOPP,150.0,150.0,147.0,147.0,-1.34,1700,252000,312000,514000.0,2356000.0,149.2,147.625,148.65384615384616,-1.0024928774928696,-0.007763532763533477,540.0,14.285714285714292,24.285714285714285,80400.0,0.0
5/27/2015,TOPP,147.0,147.0,146.0,146.0,-0.68,3500,512000,779000,1026000.0,2718000.0,148.4,147.29166666666666,148.80769230769232,-1.506766381766397,-0.4439458689458718,1140.0,14.285714285714292,21.42857142857143,167800.0,0.0
5/28/2015,TOPP,148.0,148.0,146.0,147.0,0.68,3300,483000,1262000,1509000.0,3066000.0,147.8,147.20833333333334,148.73076923076925,-1.4262820512820156,-0.8391025641025578,1780.0,21.42857142857143,20.000000000000004,261400.0,0.0
5/29/2015,TOPP,146.0,146.0,146.0,146.0,-0.68,100,15000,1277000,1524000.0,3081000.0,147.0,146.95833333333334,148.61538461538458,-1.610754985754994,-1.1858262108262068,1740.0,21.42857142857143,18.571428571428573,255400.0,0.0
6/2/2015,TOPP,147.0,148.0,147.0,148.0,1.37,700,103000,1365000,1515000.0,3184000.0,146.8,146.91666666666666,148.5,-1.3796296296296475,-1.3851851851851849,1860.0,28.57142857142857,20.000000000000004,273000.0,0.0
6/4/2015,TOPP,148.0,148.0,148.0,148.0,0.0,400,59000,660000,1484000.0,3243000.0,147.0,147.16666666666666,148.40384615384616,-1.079059829059844,-1.4004985754985797,1600.0,21.42857142857143,21.42857142857143,234400.0,0.0
6/9/2015,TOPP,148.0,148.0,148.0,148.0,0.0,500,74000,133000,1513000.0,2725000.0,147.4,147.41666666666666,148.3269230769231,-0.7962962962963047,-1.2584045584045611,1000.0,21.42857142857143,22.857142857142854,146800.0,0.0
6/10/2015,TOPP,148.0,148.0,148.0,148.0,0.0,400,59000,192000,1572000.0,2784000.0,147.6,148.08333333333334,148.25,-0.16096866096867754,-1.0053418803418936,420.0,21.42857142857143,22.857142857142854,62000.0,0.0
6/11/2015,TOPP,148.0,148.0,145.0,145.0,-2.03,601,89000,222000,1661000.0,2873000.0,147.4,147.66666666666666,148.05769230769232,-0.574786324786345,-0.7981481481481637,520.2,21.42857142857143,22.857142857142854,76800.0,2.0
6/12/2015,TOPP,147.0,148.5,147.0,148.5,2.41,800,118000,340000,1764000.0,2827000.0,147.5,147.54166666666666,148.0,-0.3479344729344689,-0.591809116809128,540.2,28.57142857142857,22.857142857142854,79800.0,2.0
