Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
2/10/2016,TAKUNI-W,2.1,2.14,1.8,1.8,0.0,42343473,82920660,82920660,82920660.0,82920660.0,1.8,,,,,42343473.0,,
2/11/2016,TAKUNI-W,1.83,1.89,1.69,1.69,-6.11,8972017,16202200,99122860,99122860.0,99122860.0,1.745,,,,,25657745.0,,
2/12/2016,TAKUNI-W,1.73,1.74,1.68,1.68,-0.59,2831248,4826310,103949170,103949170.0,103949170.0,1.7233333333333334,,,,,18048912.666666668,,
2/15/2016,TAKUNI-W,1.7,1.75,1.68,1.69,0.6,1951060,3329180,107278350,107278350.0,107278350.0,1.7149999999999999,,,,,14024449.5,,
2/16/2016,TAKUNI-W,1.72,1.73,1.62,1.67,-1.18,1031106,1733060,109011410,109011410.0,109011410.0,1.706,,,,,11425780.8,,
2/17/2016,TAKUNI-W,1.67,1.86,1.62,1.73,3.59,27421357,49052980,75143730,158064390.0,158064390.0,1.6920000000000002,,,,,8441357.6,,
2/18/2016,TAKUNI-W,1.73,1.76,1.69,1.69,-2.31,3069713,5298800,64240330,163363190.0,163363190.0,1.6919999999999997,,,,,7260896.8,,
2/19/2016,TAKUNI-W,1.68,1.7,1.67,1.69,0.0,784120,1320840,60734860,164684030.0,164684030.0,1.6939999999999997,,,,,6851471.2,,
2/23/2016,TAKUNI-W,1.71,1.74,1.68,1.68,-0.59,920000,1565700,58971380,166249730.0,166249730.0,1.6919999999999997,,,,,6645259.2,,
2/24/2016,TAKUNI-W,1.69,1.81,1.69,1.69,0.6,3625999,6314200,63552520,172563930.0,172563930.0,1.6959999999999997,,,,,7164237.8,,
2/25/2016,TAKUNI-W,1.72,1.73,1.67,1.7,0.59,2087500,3540260,18039800,176104190.0,176104190.0,1.69,,,,,2097466.4,,
2/26/2016,TAKUNI-W,1.7,1.82,1.67,1.68,-1.18,26121116,45870180,58611180,221974370.0,221974370.0,1.6880000000000002,1.6991666666666665,,,,6707747.0,,
2/29/2016,TAKUNI-W,1.7,1.78,1.68,1.69,0.6,11740003,20375360,77665700,242349730.0,242349730.0,1.688,1.6900000000000002,,,,8898923.6,,
3/1/2016,TAKUNI-W,1.71,1.74,1.67,1.69,0.0,2097204,3577070,79677070,163006140.0,245926800.0,1.69,1.6900000000000002,,,,9134364.4,35.71428571428572,35.71428571428572
3/2/2016,TAKUNI-W,1.71,1.71,1.66,1.68,-0.59,1955900,3302280,76665150,150106220.0,249229080.0,1.688,1.6899999999999997,,,,8800344.6,35.71428571428572,35.71428571428572
3/3/2016,TAKUNI-W,1.66,1.69,1.66,1.67,-0.6,505700,844780,73969670,146124690.0,250073860.0,1.682,1.6883333333333332,,,,8483984.6,35.71428571428572,35.71428571428572
3/4/2016,TAKUNI-W,1.67,1.68,1.66,1.66,-0.6,860197,1435490,29534980,144231000.0,251509350.0,1.6779999999999997,1.6874999999999998,,,,3431800.8,35.71428571428572,35.71428571428572
3/7/2016,TAKUNI-W,1.65,1.66,1.64,1.64,-1.2,609816,1004220,10163840,143502160.0,252513570.0,1.668,1.68,,,,1205763.4,28.57142857142857,34.28571428571429
3/8/2016,TAKUNI-W,1.64,1.68,1.6,1.6,-2.44,1218351,1983490,8570260,96432670.0,254497060.0,1.65,1.6725,,,,1029992.8,28.57142857142857,32.857142857142854
3/9/2016,TAKUNI-W,1.6,1.64,1.55,1.6,0.0,149300,239430,5507410,91373300.0,254736490.0,1.634,1.665,,,,668672.8,21.42857142857143,30.0
