Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
6/30/2016,ML-W2,0.45,0.52,0.43,0.43,0.0,135889236,63125850,63125850,63125850.0,63125850.0,0.43,,,,,135889236.0,,,63125850.0,0.0
7/4/2016,ML-W2,0.44,0.44,0.41,0.42,-2.33,19128671,8128050,71253900,71253900.0,71253900.0,0.425,,,,,77508953.5,,,35626950.0,0.0
7/5/2016,ML-W2,0.42,0.44,0.41,0.41,-2.38,10138686,4284890,75538790,75538790.0,75538790.0,0.42,,,,,55052197.66666666,,,25179596.66666667,0.0
7/6/2016,ML-W2,0.41,0.43,0.41,0.41,0.0,6478918,2696220,78235010,78235010.0,78235010.0,0.4175,,,,,42908877.75,,,19558752.5,0.0
7/7/2016,ML-W2,0.41,0.42,0.4,0.41,0.0,3005699,1233430,79468440,79468440.0,79468440.0,0.41600000000000004,,,,,34928242.0,,,15893688.0,0.0
7/8/2016,ML-W2,0.41,0.42,0.4,0.41,0.0,5878183,2415870,18758460,81884310.0,81884310.0,0.41200000000000003,,,,,8926031.4,,,3751692.0,0.0
7/11/2016,ML-W2,0.42,0.44,0.41,0.43,4.88,6406993,2731580,13361990,84615890.0,84615890.0,0.414,,,,,6381695.8,,,2672398.0,0.0
7/12/2016,ML-W2,0.43,0.44,0.42,0.43,0.0,3920681,1685540,10762640,86301430.0,86301430.0,0.418,,,,,5138094.8,,,2152528.0,0.0
7/13/2016,ML-W2,0.43,0.44,0.41,0.41,-4.65,4350155,1846370,9912790,88147800.0,88147800.0,0.418,,,,,4712342.2,,,1982558.0,0.0
7/14/2016,ML-W2,0.41,0.42,0.41,0.41,0.0,2706877,1109830,9789190,89257630.0,89257630.0,0.418,,,,,4652577.8,,,1957838.0,0.0
7/15/2016,ML-W2,0.41,0.41,0.4,0.4,-2.44,2109396,856540,8229860,90114170.0,90114170.0,0.41600000000000004,,,,,3898820.4,,,1645972.0,0.0
7/20/2016,ML-W2,0.4,0.43,0.4,0.41,2.5,2945638,1220940,6719220,91335110.0,91335110.0,0.41200000000000003,0.4150000000000001,,,,3206549.4,,,1343844.0,0.0
7/21/2016,ML-W2,0.41,0.42,0.4,0.41,0.0,2520580,1020030,6053710,92355140.0,92355140.0,0.408,0.4133333333333334,,,,2926529.2,,,1210742.0,0.0
7/22/2016,ML-W2,0.4,0.48,0.4,0.47,14.63,62836990,28579610,32786950,57808900.0,120934750.0,0.4199999999999999,0.4175,,,,14623896.2,21.42857142857143,21.42857142857143,6557390.0,0.0
7/25/2016,ML-W2,0.48,0.49,0.46,0.46,-2.13,37323200,17807910,49485030,67488760.0,138742660.0,0.43,0.4216666666666665,,,,21547160.8,21.42857142857143,21.42857142857143,9897006.0,0.0
