Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
7/27/2017,FTE,3.86,3.94,3.4,3.5,18.64,406457867,1519140450,1519140450,1519140450.0,1519140450.0,3.5,,,,,406457867.0,,
7/31/2017,FTE,3.58,3.64,3.42,3.42,-2.29,90181451,319458940,1838599390,1838599390.0,1838599390.0,3.46,,,,,248319659.0,,
8/2/2017,FTE,3.4,3.44,3.28,3.38,0.0,49971272,167903360,2006502750,2006502750.0,2006502750.0,3.4333333333333336,,,,,182203530.0,,
8/4/2017,FTE,3.34,3.56,3.34,3.56,6.59,47436519,164518120,2171020870,2171020870.0,2171020870.0,3.4650000000000003,,,,,148511777.25,,
8/7/2017,FTE,3.56,3.56,3.44,3.44,-3.37,27092302,94768190,2265789060,2265789060.0,2265789060.0,3.46,,,,,124227882.2,,
8/8/2017,FTE,3.46,3.54,3.42,3.5,1.74,26814218,93726780,840375390,2359515840.0,2359515840.0,3.4599999999999995,,,,,48299152.4,,
8/9/2017,FTE,3.46,3.52,3.38,3.38,-3.43,18773400,64831120,585747570,2424346960.0,2424346960.0,3.4519999999999995,,,,,34017542.2,,
8/10/2017,FTE,3.38,3.42,3.34,3.4,0.59,10852000,36636260,454480470,2460983220.0,2460983220.0,3.4559999999999995,,,,,26193687.8,,
8/11/2017,FTE,3.38,3.42,3.32,3.32,-2.35,7355900,24711650,314674000,2485694870.0,2485694870.0,3.408,,,,,18177564.0,,
8/15/2017,FTE,3.4,3.42,3.36,3.4,2.41,6535200,22145840,242051650,2507840710.0,2507840710.0,3.4,,,,,14066143.6,,
8/17/2017,FTE,3.4,3.48,3.38,3.44,1.18,11937400,41043810,189368680,2548884520.0,2548884520.0,3.3880000000000003,,,,,11090780.0,,
8/18/2017,FTE,3.44,3.46,3.36,3.44,0.0,7585001,25858050,150395610,2574742570.0,2574742570.0,3.4,3.431666666666666,,,,8853100.2,,
8/21/2017,FTE,3.46,3.52,3.4,3.42,-0.58,8712900,30156000,143915350,2604898570.0,2604898570.0,3.404,3.4249999999999994,,,,8425280.2,,
8/22/2017,FTE,3.42,3.5,3.36,3.36,-1.75,21813728,74986560,194190260,1160744680.0,2679885130.0,3.412,3.42,,,,11316845.8,42.857142857142854,42.857142857142854
8/23/2017,FTE,3.38,3.38,3.28,3.3,-1.79,16055700,53426810,225471230,894712550.0,2733311940.0,3.3920000000000003,3.4133333333333327,,,,13220945.8,35.71428571428572,39.28571428571429
8/24/2017,FTE,3.32,3.36,3.28,3.3,0.0,4142102,13705830,198133250,740515020.0,2747017770.0,3.364,3.391666666666666,,,,11661886.2,35.71428571428572,38.0952380952381
8/25/2017,FTE,3.32,3.34,3.3,3.32,0.61,1437700,4773130,177048330,580770030.0,2751790900.0,3.34,3.3816666666666664,,,,10432426.0,42.857142857142854,39.28571428571429
8/28/2017,FTE,3.34,3.34,3.28,3.3,-0.6,2514400,8302470,155194800,494304310.0,2760093370.0,3.3160000000000003,3.365,,,,9192726.0,35.71428571428572,38.57142857142858
8/29/2017,FTE,3.26,3.34,3.26,3.3,0.0,7630585,25211430,105419670,425788960.0,2785304800.0,3.304,3.358333333333333,,,,6356097.4,35.71428571428572,37.14285714285715
8/30/2017,FTE,3.36,3.38,3.3,3.3,0.0,6900050,23041980,75034840,383999820.0,2808346780.0,3.304,3.3499999999999996,,,,4524967.4,28.57142857142857,35.71428571428572
8/31/2017,FTE,3.32,3.32,3.3,3.3,0.0,2270000,7503150,68832160,354866710.0,2815849930.0,3.304,3.3483333333333327,,,,4150547.0,28.57142857142857,34.28571428571429
9/1/2017,FTE,3.32,3.34,3.28,3.28,-0.61,3377304,11132310,75191340,341287370.0,2826982240.0,3.2960000000000003,3.3383333333333334,,,,4538467.8,21.42857142857143,30.0
9/4/2017,FTE,3.3,3.44,3.28,3.42,4.27,17362449,58648810,125537680,377790340.0,2885631050.0,3.3199999999999994,3.3366666666666673,,,,7508077.6,28.57142857142857,28.571428571428573
9/5/2017,FTE,3.46,3.48,3.36,3.36,-1.75,9778400,33317640,133643890,370064170.0,2918948690.0,3.332,3.33,,,,7937640.6,21.42857142857143,25.71428571428571
9/6/2017,FTE,3.38,3.6,3.34,3.44,2.38,87433278,305578320,416180230,649784440.0,3224527010.0,3.3600000000000003,3.331666666666667,,,,24044286.2,21.42857142857143,24.285714285714285
9/7/2017,FTE,3.44,3.48,3.4,3.4,-1.16,12618100,43319710,451996790,662948150.0,3267846720.0,3.38,3.3349999999999995,3.3838461538461533,-0.040042735042735256,-0.040042735042735256,26113906.2,21.42857142857143,22.857142857142858
9/8/2017,FTE,3.42,3.46,3.36,3.36,-1.18,6219300,21118040,461982520,609079630.0,3288964760.0,3.396,3.34,3.378461538461538,-0.03401709401709363,-0.03702991452991444,26682305.4,21.42857142857143,22.857142857142858
9/11/2017,FTE,3.36,3.42,3.34,3.34,-0.6,6992100,23589970,426923680,579242790.0,3312554730.0,3.38,3.3433333333333337,3.375384615384615,-0.02994301994301951,-0.0346676163342828,24608235.6,21.42857142857143,21.42857142857143
9/12/2017,FTE,3.36,3.38,3.34,3.36,0.6,2281900,7650440,401256480,573187400.0,3320205170.0,3.38,3.3466666666666662,3.374615384615384,-0.0248148148148144,-0.0322044159544157,23108935.6,28.57142857142857,22.857142857142858
9/13/2017,FTE,3.38,3.42,3.34,3.36,0.0,3179701,10725110,106403270,579139380.0,3330930280.0,3.364,3.3516666666666666,3.3669230769230767,-0.01346153846153797,-0.028455840455840153,6258220.2,28.57142857142857,24.285714285714285
