Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
1/5/2015,FPI,4.1,4.6,4.1,4.2,4.48,205267215,890835000,1925617000,2037786000.0,2405712000.0,4.2,,,,,205267215.0,,,890835000.0,0.0
1/6/2015,FPI,4.14,4.36,4.12,4.28,1.9,38039900,160766000,2033186000,2176156000.0,2520603000.0,4.24,,,,,121653557.5,,,525800500.0,0.0
1/7/2015,FPI,4.28,4.66,4.26,4.48,4.67,141487300,636055000,2206309000,2798938000.0,3152613000.0,4.32,,,,,128264805.0,,,562552000.0,0.0
1/8/2015,FPI,4.54,4.54,4.3,4.32,-3.57,26390801,115993000,2155942000,2878214000.0,3242166000.0,4.32,,,,,102796304.0,,,450912250.0,0.0
1/9/2015,FPI,4.38,4.48,4.26,4.34,0.46,31813300,137304000,1940953000,3000018000.0,3375394000.0,4.324,,,,,88599703.2,,,388190600.0,0.0
1/12/2015,FPI,4.34,4.52,4.34,4.44,2.3,20310900,90209000,1140327000,3080687000.0,3462714000.0,4.372000000000001,,,,,51608440.2,,,228065400.0,0.0
1/13/2015,FPI,4.48,4.54,4.38,4.46,0.45,17974413,80406000,1059967000,3156859000.0,3540426000.0,4.408,,,,,47595342.8,,,211993400.0,0.0
1/14/2015,FPI,4.54,4.94,4.5,4.82,8.07,142192301,677527000,1101439000,3826442000.0,4215477000.0,4.476000000000001,,,,,47736343.0,,,220287800.0,0.0
1/15/2015,FPI,4.8,4.88,4.66,4.72,-2.07,33428500,158374000,1143820000,3982251000.0,4366878000.0,4.556,,,,,49143882.8,,,228764000.0,0.0
1/16/2015,FPI,4.78,5.1,4.76,4.86,2.97,105471403,521378000,1527894000,4450432000.0,4880339000.0,4.66,,,,,63875503.4,,,305578800.0,0.0
1/19/2015,FPI,4.9,5.0,4.76,4.76,-2.06,34262300,166978000,1604663000,4154478000.0,5024241000.0,4.723999999999998,,,,,66665783.4,,,320932600.0,0.0
1/20/2015,FPI,4.82,4.84,4.76,4.8,0.84,8326400,39867000,1564124000,4027985000.0,5020196000.0,4.792,4.54,,,,64736180.8,,,312824800.0,0.0
1/21/2015,FPI,4.9,4.9,4.78,4.78,-0.42,7845600,37740000,924337000,3713432000.0,5052978000.0,4.784000000000002,4.588333333333334,,,,37866840.6,,,184867400.0,0.0
1/22/2015,FPI,4.8,4.94,4.78,4.82,0.84,16873004,81985000,847948000,2904582000.0,5117312000.0,4.8039999999999985,4.633333333333334,,,,34555741.4,71.42857142857143,71.42857142857143,169589600.0,0.0
1/23/2015,FPI,4.88,4.88,4.8,4.82,0.0,4472000,21614000,348184000,2765430000.0,5138189000.0,4.796,4.661666666666666,,,,14355860.8,64.28571428571428,67.85714285714286,69636800.0,0.0
1/26/2015,FPI,4.88,5.0,4.82,4.92,2.07,49476603,241939000,423145000,2371314000.0,5375536000.0,4.828,4.711666666666667,,,,17398721.4,64.28571428571428,66.66666666666667,84629000.0,0.0
1/27/2015,FPI,5.0,5.1,4.96,5.0,1.63,18400400,92388000,475666000,2347709000.0,5458092000.0,4.868,4.766666666666667,,,,19413521.4,64.28571428571428,66.07142857142857,95133200.0,0.0
1/28/2015,FPI,5.05,5.15,5.05,5.05,1.0,16492500,83879000,521805000,2294284000.0,5529970000.0,4.9220000000000015,4.8175,,,,21142901.4,71.42857142857143,67.14285714285714,104361000.0,0.0
1/29/2015,FPI,5.1,5.35,5.1,5.2,2.97,65371002,344430000,784250000,2548505000.0,5792370000.0,4.997999999999998,4.879166666666666,,,,30842501.0,71.42857142857143,67.14285714285714,156850000.0,0.0
1/30/2015,FPI,5.35,5.4,5.2,5.2,0.0,17232603,91099000,853735000,2559198000.0,5873821000.0,5.074,4.910833333333334,,,,33394621.6,64.28571428571428,67.14285714285714,170747000.0,0.0
2/2/2015,FPI,5.2,5.25,5.15,5.2,0.0,9387401,48615000,660411000,1930286000.0,5901445000.0,5.13,4.9508333333333345,,,,25376781.2,57.14285714285714,65.71428571428571,132082200.0,0.0
2/3/2015,FPI,5.2,5.5,5.2,5.4,3.85,32863400,177114000,745137000,1949026000.0,6043446000.0,5.209999999999999,4.995833333333334,,,,28269381.2,57.14285714285714,64.28571428571429,149027400.0,0.0
2/4/2015,FPI,5.4,5.45,5.15,5.3,-1.85,41881000,219614000,880872000,1647262000.0,6240664000.0,5.26,5.0408333333333335,,,,33347081.2,57.14285714285714,61.42857142857142,176174400.0,0.0
2/5/2015,FPI,5.3,5.55,5.25,5.45,2.83,21620201,117689000,654131000,1597973000.0,6345080000.0,5.3100000000000005,5.0950000000000015,,,,24596921.0,57.14285714285714,58.57142857142857,130826200.0,0.0
2/6/2015,FPI,5.65,5.9,5.65,5.7,4.59,36611700,210739000,773771000,1768845000.0,6519102000.0,5.41,5.171666666666668,,,,28472740.4,64.28571428571428,58.57142857142857,154754200.0,0.0
2/9/2015,FPI,5.9,6.0,5.75,5.85,2.63,40769200,239770000,964926000,1970875000.0,6743372000.0,5.539999999999999,5.2575,4.891153846153847,0.3864743589743593,0.3864743589743593,34749100.2,64.28571428571428,60.0,192985200.0,0.0
2/10/2015,FPI,5.8,5.9,5.8,5.85,0.0,9106800,53055000,840867000,1941945000.0,6786887000.0,5.63,5.343333333333334,4.954615384615385,0.4003418803418803,0.39340811965811984,29997780.2,64.28571428571428,61.42857142857142,168173400.0,0.0
2/11/2015,FPI,5.85,5.9,5.7,5.85,0.0,30538300,176043000,797296000,2096374000.0,6958696000.0,5.74,5.4208333333333325,5.0150000000000015,0.410007122507122,0.3989411206077873,27729240.2,57.14285714285714,61.42857142857142,159459200.0,0.0
2/12/2015,FPI,5.9,6.0,5.8,5.9,0.85,10688000,63228000,742835000,1917663000.0,7013980000.0,5.83,5.495833333333334,5.069615384615385,0.4268874643874652,0.4059277065527067,25542800.0,64.28571428571428,62.85714285714285,148567000.0,0.0
2/13/2015,FPI,5.95,6.2,5.9,6.05,2.54,47728859,290808000,822904000,2116083000.0,7302223000.0,5.9,5.579166666666668,5.136153846153847,0.4477564102564102,0.4142934472934474,27766231.8,64.28571428571428,62.85714285714285,164580800.0,0.0
2/16/2015,FPI,6.05,6.05,5.85,6.05,0.0,14870106,88829000,671963000,2121033000.0,7337855000.0,5.94,5.65,5.201923076923078,0.44679487179487065,0.4263575498575497,22586413.0,57.14285714285714,61.42857142857142,134392600.0,0.0
2/17/2015,FPI,6.2,6.3,6.0,6.05,0.0,31969702,197107000,816015000,1973710000.0,7072030000.0,5.98,5.720833333333332,5.2638461538461545,0.4493945868945861,0.4361680911680909,27158993.4,50.0,58.57142857142857,163203000.0,0.0
2/18/2015,FPI,6.0,6.0,5.75,5.85,-3.31,8010600,47123000,687095000,1929734000.0,6952793000.0,5.98,5.774999999999999,5.3173076923076925,0.42977207977207854,0.4401210826210821,22653453.4,42.857142857142854,55.71428571428571,137419000.0,0.0
2/19/2015,FPI,5.8,5.85,5.75,5.75,-1.71,12471401,71902000,695769000,1953021000.0,6672402000.0,5.95,5.804166666666666,5.353076923076923,0.4133547008547014,0.4374145299145294,23010133.6,42.857142857142854,51.42857142857142,139153800.0,0.0
