Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
7/24/2018,NVD-W1,1.0,1.0,0.37,0.37,0.0,45181335,23498550,23498550,23498550.0,23498550.0,0.37,,,,,45181335.0,,,23498550.0,0.0
7/25/2018,NVD-W1,0.36,0.41,0.34,0.35,-5.41,10534319,3862470,27361020,27361020.0,27361020.0,0.36,,,,,27857827.0,,,13680510.0,0.0
7/26/2018,NVD-W1,0.35,0.38,0.32,0.32,-8.57,4871428,1706630,29067650,29067650.0,29067650.0,0.3466666666666667,,,,,20195694.0,,,9689216.666666666,0.0
7/31/2018,NVD-W1,0.33,0.34,0.28,0.28,-12.5,2550765,758910,29826560,29826560.0,29826560.0,0.33,,,,,15784461.75,,,7456640.0,0.0
8/1/2018,NVD-W1,0.28,0.28,0.24,0.24,-14.29,2850840,727240,30553800,30553800.0,30553800.0,0.312,,,,,13197737.4,,,6110760.0,0.0
8/2/2018,NVD-W1,0.24,0.26,0.23,0.24,0.0,4744000,1157550,8212800,31711350.0,31711350.0,0.28600000000000003,,,,,5110270.4,,,1642560.0,0.0
8/3/2018,NVD-W1,0.24,0.24,0.21,0.21,-12.5,4459126,986260,5336590,32697610.0,32697610.0,0.258,,,,,3895231.8,,,1067318.0,0.0
8/6/2018,NVD-W1,0.22,0.22,0.17,0.17,-19.05,7523400,1434310,5064270,34131920.0,34131920.0,0.228,,,,,4425626.2,,,1012854.0,0.0
8/7/2018,NVD-W1,0.17,0.18,0.16,0.16,-5.88,3511040,590020,4895380,34721940.0,34721940.0,0.204,,,,,4617681.2,,,979076.0,0.0
8/8/2018,NVD-W1,0.17,0.18,0.16,0.16,0.0,2722200,461890,4630030,35183830.0,35183830.0,0.188,,,,,4591953.2,,,926006.0,0.0
8/9/2018,NVD-W1,0.17,0.19,0.16,0.17,6.25,5335980,931190,4403670,36115020.0,36115020.0,0.17400000000000002,,,,,4710349.2,,,880734.0,0.0
8/10/2018,NVD-W1,0.18,0.22,0.15,0.18,5.88,7713216,1435950,4853360,37550970.0,37550970.0,0.168,0.23750000000000004,,,,5361167.2,,,970672.0,0.0
8/14/2018,NVD-W1,0.18,0.19,0.17,0.18,0.0,1606744,286030,3705080,37837000.0,37837000.0,0.16999999999999998,0.22166666666666668,,,,4177836.0,,,741016.0,0.0
8/15/2018,NVD-W1,0.19,0.2,0.17,0.18,0.0,2643600,481120,3596180,14819570.0,38318120.0,0.174,0.2075,,,,4004348.0,14.285714285714292,14.285714285714292,719236.0,0.0
8/16/2018,NVD-W1,0.18,0.2,0.18,0.19,5.56,2074200,394110,3528400,11351210.0,38712230.0,0.18,0.19666666666666666,,,,3874748.0,21.42857142857143,17.857142857142858,705680.0,0.0
