Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
1/5/2015,KDH,81.0,81.0,78.25,78.25,-2.8,10000,795000,925000,3898000.0,7318000.0,78.25,,,,,10000.0,,
1/6/2015,KDH,78.5,80.0,78.5,80.0,2.24,2600,207000,1132000,3600000.0,7259000.0,79.125,,,,,6300.0,,
1/7/2015,KDH,82.25,82.25,82.25,82.25,2.81,562,46000,1129000,2803000.0,7069000.0,80.16666666666667,,,,,4387.333333333333,,
1/13/2015,KDH,82.5,82.5,82.5,82.5,0.3,100,8000,54000,1323000.0,6866000.0,80.75,,,,,3315.5,,
1/14/2015,KDH,82.5,82.5,82.5,82.5,0.0,800,66000,74000,1325000.0,6647000.0,81.1,,,,,2812.4,,
1/16/2015,KDH,80.5,80.5,80.5,80.5,-2.42,500,40000,114000,1292000.0,6297000.0,81.55,,,,,912.4,,
1/19/2015,KDH,80.5,80.5,80.5,80.5,0.0,300,24000,138000,1267000.0,6321000.0,81.65,,,,,452.4,,
1/20/2015,KDH,81.0,81.25,81.0,81.0,0.62,2200,179000,309000,1446000.0,6324000.0,81.4,,,,,780.0,,
1/21/2015,KDH,80.75,80.75,80.75,80.75,-0.31,8300,670000,913000,2035000.0,6529000.0,81.05,,,,,2420.0,,
1/22/2015,KDH,82.0,86.0,82.0,84.0,4.02,5626,471000,1384000,1711000.0,6836000.0,81.35,,,,,3385.2,,
1/23/2015,KDH,85.0,94.75,84.75,89.75,6.85,63300,5707000,7051000,7211000.0,12139000.0,83.2,,,,,15945.2,,
1/26/2015,KDH,89.0,93.25,89.0,91.0,1.39,9152,836000,7863000,8001000.0,12975000.0,85.3,82.75,,,,17715.6,,
1/27/2015,KDH,91.0,100.0,91.0,97.25,6.87,92141,8961000,16645000,16962000.0,21510000.0,88.55,84.33333333333333,,,,35703.8,,
1/28/2015,KDH,97.0,98.5,93.0,97.5,0.26,28400,2743000,18718000,19705000.0,24236000.0,91.9,85.79166666666667,,,,39723.8,64.28571428571428,64.28571428571428
1/29/2015,KDH,97.0,99.75,97.0,99.5,2.05,6600,650000,18897000,20355000.0,24794000.0,95.0,87.22916666666667,,,,39918.6,71.42857142857143,67.85714285714286
1/30/2015,KDH,94.75,99.5,93.25,93.25,-6.28,29400,2871000,16061000,23218000.0,27648000.0,95.7,88.125,,,,33138.6,64.28571428571428,66.66666666666667
2/2/2015,KDH,94.75,98.75,94.75,98.5,5.63,13400,1312000,16537000,24464000.0,28697000.0,97.2,89.45833333333333,,,,33988.2,64.28571428571428,66.07142857142857
2/3/2015,KDH,99.0,102.0,98.25,100.0,1.52,67786,6806000,14382000,31270000.0,35495000.0,97.75,91.08333333333333,,,,29117.2,64.28571428571428,65.71428571428571
2/4/2015,KDH,99.0,99.75,96.25,96.5,-3.5,26800,2584000,14223000,33814000.0,37574000.0,97.55,92.41666666666667,,,,28797.2,64.28571428571428,65.71428571428571
2/5/2015,KDH,94.25,99.5,93.5,99.25,2.85,42200,4067000,17640000,37857000.0,40798000.0,97.5,93.9375,,,,35917.2,71.42857142857143,65.71428571428571
2/6/2015,KDH,99.75,99.75,97.5,97.5,-1.76,3500,346000,15115000,38024000.0,41040000.0,98.35,95.33333333333333,,,,30737.2,71.42857142857143,67.14285714285714
2/9/2015,KDH,99.75,99.75,98.0,98.0,0.51,2300,227000,14030000,37581000.0,40481000.0,98.25,96.5,,,,28517.2,71.42857142857143,68.57142857142858
2/10/2015,KDH,100.0,100.0,97.5,99.75,1.79,8900,883000,8107000,37993000.0,41026000.0,98.2,97.33333333333333,,,,16740.0,78.57142857142857,71.42857142857143
2/11/2015,KDH,99.25,100.0,98.0,99.5,-0.25,24000,2388000,7911000,34674000.0,43154000.0,98.8,98.04166666666667,,,,16180.0,71.42857142857143,72.85714285714286
2/12/2015,KDH,99.0,99.25,95.25,95.25,-4.27,741,71000,3915000,33909000.0,43161000.0,98.0,97.875,,,,7888.2,64.28571428571428,71.42857142857143
2/13/2015,KDH,96.5,98.0,96.5,97.25,2.1,7701,750000,4319000,25698000.0,43838000.0,97.95,97.85416666666667,90.84615384615384,6.440705128205138,6.440705128205138,8728.4,64.28571428571428,70.0
