Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
1/5/2015,GC,3.96,4.0,3.9,3.9,-1.02,7408,29000,237000,2021000.0,8204000.0,3.9,,,,,7408.0,,,29000.0,0.0
1/6/2015,GC,3.94,3.94,3.9,3.9,0.0,12600,49000,161000,1443000.0,8127000.0,3.9,,,,,10004.0,,,39000.0,0.0
1/7/2015,GC,3.92,3.94,3.92,3.92,0.51,4800,19000,141000,1313000.0,7870000.0,3.9066666666666654,,,,,8269.333333333334,,,32333.33333333333,0.0
1/8/2015,GC,3.92,4.0,3.92,3.98,1.53,58500,233000,363000,1419000.0,7869000.0,3.925,,,,,20827.0,,,82500.0,0.0
1/9/2015,GC,4.06,4.06,3.94,4.0,0.5,2500,10000,340000,1032000.0,7470000.0,3.94,,,,,17161.6,,,68000.0,0.0
1/12/2015,GC,4.0,4.0,3.94,4.0,0.0,26200,104000,415000,1106000.0,7524000.0,3.96,,,,,20920.0,,,83000.0,0.0
1/13/2015,GC,4.0,4.04,4.0,4.02,0.5,10400,42000,408000,919000.0,7349000.0,3.984,,,,,20480.0,,,81600.0,0.0
1/14/2015,GC,4.04,4.04,4.02,4.02,0.0,5200,21000,410000,888000.0,6955000.0,4.004,,,,,20560.0,,,82000.0,0.0
1/15/2015,GC,4.04,4.04,3.98,3.98,-1.0,10900,44000,221000,759000.0,6426000.0,4.004,,,,,11040.0,,,44200.0,0.0
1/16/2015,GC,3.98,4.02,3.98,3.98,0.0,12400,50000,261000,684000.0,6304000.0,4.0,,,,,13020.0,,,52200.0,0.0
1/19/2015,GC,4.04,4.04,4.0,4.0,0.5,1601,6000,163000,651000.0,6282000.0,4.0,,,,,8100.2,,,32600.0,0.0
1/20/2015,GC,4.02,4.02,4.0,4.02,0.5,13100,52000,173000,692000.0,6170000.0,4.0,3.9766666666666666,,,,8640.2,,,34600.0,0.0
