Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
1/5/2015,CMO,1.76,1.76,1.73,1.74,-1.14,428800,749000,4655000,11247000.0,53648000.0,1.74,,,,,428800.0,,
1/6/2015,CMO,1.72,1.75,1.69,1.71,-1.72,440600,760000,3568000,11297000.0,52365000.0,1.725,,,,,434700.0,,
1/7/2015,CMO,1.72,1.81,1.7,1.81,5.85,676200,1182000,3733000,11819000.0,47340000.0,1.7533333333333332,,,,,515200.0,,
1/8/2015,CMO,1.8,1.86,1.8,1.86,2.76,309401,564000,3741000,12005000.0,43660000.0,1.78,,,,,463750.25,,
1/9/2015,CMO,1.86,1.9,1.84,1.85,-0.54,545200,1014000,4269000,11898000.0,42268000.0,1.794,,,,,480040.2,,
1/12/2015,CMO,1.88,1.88,1.85,1.85,0.0,548600,1023000,4543000,12285000.0,42258000.0,1.816,,,,,504000.2,,
1/13/2015,CMO,1.85,1.93,1.84,1.91,3.24,721100,1367000,5150000,12355000.0,42918000.0,1.8559999999999999,,,,,560100.2,,
1/14/2015,CMO,1.93,2.06,1.92,2.0,4.71,1794675,3586000,7554000,14966000.0,42625000.0,1.8940000000000001,,,,,783795.2,,
1/15/2015,CMO,2.06,2.2,2.02,2.12,6.0,4442400,9506000,16496000,23657000.0,51487000.0,1.9460000000000002,,,,,1610395.0,,
1/16/2015,CMO,2.14,2.32,2.12,2.28,7.55,7269950,16336000,31818000,38146000.0,67128000.0,2.032,,,,,2955345.0,,
1/19/2015,CMO,2.38,2.46,2.28,2.34,2.63,5905400,14110000,44905000,51239000.0,78617000.0,2.13,,,,,4026705.0,,
1/20/2015,CMO,2.34,2.36,2.14,2.18,-6.84,2066800,4648000,48186000,55331000.0,82231000.0,2.184,1.9708333333333334,,,,4295845.0,,
1/21/2015,CMO,2.18,2.26,2.14,2.16,-0.92,1060700,2315000,46915000,57160000.0,79245000.0,2.216,2.0058333333333334,,,,4149050.0,,
1/22/2015,CMO,2.18,2.18,2.08,2.08,-3.7,926101,1957000,39366000,58368000.0,80681000.0,2.2079999999999997,2.0366666666666666,,,,3445790.2,50.0,50.0
1/23/2015,CMO,2.18,2.18,2.06,2.1,0.96,645701,1349000,24379000,58957000.0,81649000.0,2.1719999999999997,2.0608333333333335,,,,2120940.4,57.14285714285714,53.57142857142857
1/26/2015,CMO,2.08,2.08,2.02,2.02,-3.81,823400,1677000,11946000,59452000.0,82820000.0,2.1079999999999997,2.074166666666667,,,,1104540.4,57.14285714285714,54.76190476190476
1/27/2015,CMO,2.02,2.04,1.98,1.99,-1.49,918300,1835000,9133000,60723000.0,83808000.0,2.07,2.0858333333333334,,,,874840.4,50.0,53.57142857142857
1/28/2015,CMO,2.0,2.04,2.0,2.0,0.5,326400,657000,7475000,60366000.0,79947000.0,2.038,2.098333333333333,,,,727980.4,50.0,52.857142857142854
1/29/2015,CMO,2.02,2.04,2.0,2.0,0.0,202901,409000,5927000,59752000.0,79359000.0,2.022,2.1058333333333334,,,,583340.4,50.0,52.857142857142854
1/30/2015,CMO,2.04,2.1,2.02,2.1,5.0,449600,925000,5503000,59310000.0,79422000.0,2.022,2.1141666666666667,,,,544120.2,57.14285714285714,52.857142857142854
