Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
1/5/2015,TVD,2.68,2.72,2.66,2.66,-2.92,306304,818000,5105000,41921000.0,297135000.0,2.66,,,,,306304.0,,
1/6/2015,TVD,2.66,2.68,2.6,2.6,-2.26,1586844,4145000,7837000,39255000.0,297250000.0,2.63,,,,,946574.0,,
1/7/2015,TVD,2.6,2.78,2.58,2.76,6.15,3368981,9100000,15844000,43507000.0,292876000.0,2.6733333333333333,,,,,1754043.0,,
1/8/2015,TVD,2.76,2.78,2.72,2.74,-0.72,634131,1746000,16737000,41390000.0,277197000.0,2.69,,,,,1474065.0,,
1/9/2015,TVD,2.8,2.8,2.7,2.74,0.0,382202,1049000,16858000,37816000.0,269169000.0,2.7,,,,,1255692.4,,
1/12/2015,TVD,2.74,2.74,2.68,2.72,-0.73,751591,2024000,18064000,30256000.0,267262000.0,2.712,,,,,1344749.8,,
1/13/2015,TVD,2.72,3.08,2.72,2.92,7.35,10804972,31727000,45646000,59828000.0,261599000.0,2.7760000000000002,,,,,3188375.4,,
1/14/2015,TVD,2.92,2.94,2.8,2.84,-2.74,1475930,4226000,40772000,59799000.0,261396000.0,2.7920000000000003,,,,,2809765.2,,
1/15/2015,TVD,2.92,3.04,2.86,2.88,1.41,3066664,9075000,48101000,68197000.0,261515000.0,2.8200000000000003,,,,,3296271.8,,
1/16/2015,TVD,2.92,2.92,2.8,2.82,-2.08,462662,1315000,48367000,68099000.0,258868000.0,2.836,,,,,3312363.8,,
1/19/2015,TVD,2.86,2.9,2.84,2.86,1.42,324729,936000,47279000,67942000.0,226215000.0,2.864,,,,,3226991.4,,
1/20/2015,TVD,2.88,2.9,2.86,2.86,0.0,645857,1854000,17406000,68943000.0,194652000.0,2.8519999999999994,2.783333333333333,,,,1195168.4,,
1/21/2015,TVD,2.86,2.92,2.86,2.88,0.7,827897,2382000,15562000,70397000.0,191805000.0,2.8599999999999994,2.8016666666666663,,,,1065561.8,,
1/22/2015,TVD,2.96,3.08,2.92,2.94,2.08,14554591,43858000,50345000,113437000.0,231656000.0,2.8719999999999994,2.8299999999999996,,,,3363147.2,42.857142857142854,42.857142857142854
1/23/2015,TVD,2.98,3.0,2.86,2.86,-2.72,4231466,12357000,61387000,121649000.0,208307000.0,2.88,2.8383333333333334,,,,4116908.0,42.857142857142854,42.857142857142854
1/26/2015,TVD,2.86,2.92,2.86,2.9,1.4,1138754,3285000,63736000,115834000.0,199389000.0,2.888,2.8516666666666666,,,,4279713.0,50.0,45.23809523809524
1/27/2015,TVD,2.94,2.94,2.84,2.86,-1.38,962660,2763000,64645000,116851000.0,198264000.0,2.888,2.8616666666666664,,,,4343073.6,42.857142857142854,44.642857142857146
1/28/2015,TVD,2.9,2.9,2.86,2.86,0.0,1024345,2955000,65218000,118757000.0,196635000.0,2.8839999999999995,2.873333333333333,,,,4382363.2,42.857142857142854,44.28571428571429
1/29/2015,TVD,2.9,2.9,2.72,2.74,-4.2,4186292,11636000,32996000,128369000.0,201919000.0,2.844,2.858333333333333,,,,2308703.4,42.857142857142854,44.28571428571429
1/30/2015,TVD,2.74,2.84,2.72,2.72,-0.73,1165630,3234000,23873000,99876000.0,200450000.0,2.816,2.8483333333333327,,,,1695536.2,42.857142857142854,44.28571428571429
2/2/2015,TVD,2.74,2.8,2.7,2.78,2.21,608114,1681000,22269000,97331000.0,197783000.0,2.7920000000000003,2.84,,,,1589408.2,42.857142857142854,42.857142857142854
