Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
1/6/2015,CCP-W2,4.7,4.7,4.7,4.7,0.0,274,1000,128000,206000.0,4415000.0,4.7,,,,,274.0,,,1000.0,0.0
1/7/2015,CCP-W2,4.84,4.84,4.84,4.84,2.98,2560,12000,65000,213000.0,4336000.0,4.77,,,,,1417.0,,,6500.0,0.0
1/8/2015,CCP-W2,4.92,4.96,4.92,4.96,2.48,14708,73000,138000,286000.0,4347000.0,4.833333333333333,,,,,5847.333333333332,,,28666.66666666667,0.0
1/9/2015,CCP-W2,4.96,4.96,4.96,4.96,0.0,317,2000,88000,286000.0,4349000.0,4.865,,,,,4464.75,,,22000.0,0.0
1/12/2015,CCP-W2,4.64,4.86,4.64,4.86,-2.02,192530,904000,992000,1171000.0,5097000.0,4.864,,,,,42077.8,,,198400.0,0.0
1/13/2015,CCP-W2,4.82,4.92,4.8,4.82,-0.82,9997,48000,1039000,1219000.0,5109000.0,4.888,,,,,44022.4,,,207800.0,0.0
1/14/2015,CCP-W2,4.86,5.15,4.86,4.96,2.9,72275,365000,1392000,1583000.0,5448000.0,4.912000000000001,,,,,57965.4,,,278400.0,0.0
1/15/2015,CCP-W2,5.05,5.2,5.05,5.1,2.82,77241,398000,1717000,1935000.0,5827000.0,4.94,,,,,70472.0,,,343400.0,0.0
1/16/2015,CCP-W2,5.05,5.05,5.05,5.05,-0.98,190,1000,1716000,1931000.0,5478000.0,4.958,,,,,70446.6,,,343200.0,0.0
1/19/2015,CCP-W2,5.1,5.3,5.05,5.3,4.95,486081,2492000,3304000,4348000.0,7369000.0,5.046,,,,,129156.8,,,660800.0,0.0
1/20/2015,CCP-W2,5.3,5.4,5.3,5.35,0.94,169770,908000,4164000,5256000.0,7899000.0,5.151999999999999,,,,,161111.4,,,832800.0,0.0
1/21/2015,CCP-W2,5.35,5.5,5.35,5.5,2.8,108091,594000,4393000,5798000.0,8468000.0,5.26,5.033333333333333,,,,168274.6,,,878600.0,0.0
1/22/2015,CCP-W2,5.6,5.6,5.55,5.55,0.91,94500,526000,4521000,6324000.0,8986000.0,5.35,5.104166666666666,,,,171726.4,,,904200.0,0.0
1/23/2015,CCP-W2,5.55,5.55,5.4,5.55,0.0,61826,340000,4860000,6663000.0,9068000.0,5.45,5.163333333333333,,,,184053.6,57.14285714285714,57.14285714285714,972000.0,0.0
1/26/2015,CCP-W2,5.95,5.95,5.3,5.45,-1.8,10639,59000,2427000,6710000.0,9118000.0,5.48,5.204166666666667,,,,88965.2,57.14285714285714,57.14285714285714,485400.0,0.0
1/27/2015,CCP-W2,5.45,5.75,5.45,5.5,0.92,79239,443000,1962000,7080000.0,8897000.0,5.51,5.2491666666666665,,,,70859.0,57.14285714285714,57.14285714285714,392400.0,0.0
1/28/2015,CCP-W2,5.7,5.9,5.6,5.6,1.82,79974,459000,1827000,7537000.0,9293000.0,5.5299999999999985,5.310833333333333,,,,65235.6,57.14285714285714,57.14285714285714,365400.0,0.0
1/29/2015,CCP-W2,5.5,5.55,5.5,5.55,-0.89,50023,275000,1576000,6908000.0,8190000.0,5.53,5.371666666666666,,,,56340.2,57.14285714285714,57.14285714285713,315200.0,0.0
1/30/2015,CCP-W2,5.45,5.5,5.45,5.5,-0.9,32578,179000,1415000,7039000.0,8368000.0,5.52,5.416666666666668,,,,50490.6,57.14285714285714,57.14285714285713,283000.0,0.0
2/2/2015,CCP-W2,5.45,5.65,5.45,5.65,2.73,30183,166000,1522000,6840000.0,8494000.0,5.56,5.4625,,,,54399.4,64.28571428571428,58.57142857142857,304400.0,0.0
2/3/2015,CCP-W2,5.65,5.65,5.5,5.5,-2.65,25106,140000,1219000,6582000.0,8619000.0,5.56,5.5,,,,43572.8,57.14285714285714,58.57142857142857,243800.0,0.0
2/4/2015,CCP-W2,5.6,5.6,5.35,5.35,-2.73,125318,697000,1457000,7278000.0,9287000.0,5.5100000000000025,5.504166666666666,,,,52641.6,50.0,57.14285714285713,291400.0,0.0
2/5/2015,CCP-W2,5.4,5.4,5.3,5.35,0.0,93272,498000,1680000,5284000.0,9780000.0,5.4700000000000015,5.504166666666666,,,,61291.4,50.0,55.71428571428571,336000.0,0.0
2/6/2015,CCP-W2,5.35,5.45,5.35,5.4,0.93,61178,330000,1831000,4706000.0,10110000.0,5.45,5.495833333333334,,,,67011.4,50.0,54.28571428571429,366200.0,0.0
2/9/2015,CCP-W2,5.4,5.4,5.4,5.4,0.0,1556,8000,1673000,4120000.0,10116000.0,5.4,5.4833333333333325,,,,61286.0,42.857142857142854,50.0,334600.0,0.0
2/10/2015,CCP-W2,5.3,5.45,5.3,5.45,0.93,11119,59000,1592000,3653000.0,10156000.0,5.39,5.4750000000000005,5.276923076923077,0.1814102564102562,0.1814102564102562,58488.6,42.857142857142854,47.14285714285714,318400.0,0.0
2/11/2015,CCP-W2,5.5,5.5,5.3,5.3,-2.75,5954,32000,927000,3345000.0,10188000.0,5.38,5.4625,5.300000000000002,0.1374999999999984,0.1594551282051273,34615.8,35.714285714285715,44.28571428571429,185400.0,0.0
2/12/2015,CCP-W2,5.4,5.4,5.35,5.35,0.94,25346,136000,565000,3422000.0,10323000.0,5.38,5.4499999999999975,5.319615384615385,0.1127492877492866,0.14388651471984704,21030.6,42.857142857142854,42.85714285714286,113000.0,0.0
2/13/2015,CCP-W2,5.5,5.85,5.5,5.75,7.48,273717,1566000,1801000,4545000.0,11843000.0,5.45,5.462500000000001,5.35,0.1271011396011419,0.13969017094017078,63538.4,50.0,42.857142857142854,360200.0,0.0
2/16/2015,CCP-W2,5.8,6.0,5.8,6.0,4.35,327107,1937000,3730000,6023000.0,13775000.0,5.57,5.5,5.3900000000000015,0.14173789173789153,0.14009971509971492,128648.6,50.0,44.28571428571429,746000.0,0.0
2/17/2015,CCP-W2,5.9,5.9,5.7,5.7,-5.0,174657,1013000,4684000,6761000.0,14713000.0,5.619999999999999,5.5166666666666675,5.422307692307691,0.10199430199430284,0.12421652421652425,161356.2,42.857142857142854,44.28571428571429,936800.0,0.0
